agent,sample_idx,wall_time,x,y
husky_local,0,1777042094.287091519,-273.691000,-103.717000
husky_local,1,1777042096.432288607,-273.716000,-103.717000
husky_local,2,1777042098.692443805,-273.785000,-103.714000
husky_local,3,1777042100.447200823,-273.838000,-103.704000
husky_local,4,1777042102.707787291,-274.242000,-103.483000
husky_local,5,1777042104.729868985,-274.494000,-103.318000
husky_local,6,1777042107.007462882,-275.358000,-102.511000
husky_local,7,1777042109.323898582,-275.948000,-101.831000
husky_local,8,1777042111.388033817,-276.520000,-101.146000
husky_local,9,1777042113.701189452,-276.963000,-100.616000
husky_local,10,1777042115.915950518,-277.482000,-99.995000
husky_local,11,1777042118.092411838,-277.863000,-99.539000
husky_local,12,1777042120.188301745,-278.619000,-98.636000
husky_local,13,1777042122.297645649,-278.765000,-98.449000
husky_local,14,1777042124.287343015,-278.818000,-98.383000
husky_local,15,1777042126.609561881,-279.158000,-98.144000
husky_local,16,1777042128.690778868,-279.812000,-97.545000
husky_local,17,1777042130.787052755,-280.208000,-97.138000
husky_local,18,1777042133.019589356,-280.430000,-96.862000
husky_local,19,1777042134.987123952,-280.238000,-97.009000
husky_local,20,1777042137.212998446,-280.188000,-97.068000
husky_local,21,1777042139.436863169,-280.225000,-96.984000
husky_local,22,1777042141.564872060,-280.261000,-96.946000
husky_local,23,1777042143.487031984,-280.377000,-96.866000
husky_local,24,1777042145.647359595,-280.433000,-96.823000
husky_local,25,1777042147.834341973,-280.869000,-96.342000
husky_local,26,1777042149.889799254,-281.405000,-95.808000
husky_local,27,1777042151.946508856,-281.724000,-95.376000
husky_local,28,1777042154.273478336,-282.097000,-94.767000
husky_local,29,1777042156.285553754,-282.140000,-94.793000
husky_local,30,1777042158.186904183,-282.018000,-94.930000
husky_local,31,1777042160.240910043,-282.177000,-94.538000
husky_local,32,1777042162.289546454,-282.444000,-93.936000
husky_local,33,1777042164.387087483,-282.807000,-93.209000
husky_local,34,1777042166.396874524,-283.130000,-92.569000
husky_local,35,1777042168.427355411,-283.391000,-92.053000
husky_local,36,1777042170.589181685,-283.762000,-91.319000
husky_local,37,1777042172.680758229,-284.033000,-90.784000
husky_local,38,1777042174.939940118,-284.387000,-90.085000
husky_local,39,1777042176.991327249,-284.752000,-89.362000
husky_local,40,1777042179.105003564,-285.033000,-88.807000
husky_local,41,1777042181.211516820,-285.387000,-88.124000
husky_local,42,1777042183.421630551,-285.765000,-87.398000
husky_local,43,1777042185.487590010,-286.138000,-86.681000
husky_local,44,1777042187.581344028,-286.383000,-86.209000
husky_local,45,1777042189.848660015,-286.759000,-85.486000
husky_local,46,1777042192.066469367,-287.058000,-84.913000
husky_local,47,1777042194.297686176,-287.518000,-84.027000
husky_local,48,1777042196.547808791,-287.887000,-83.325000
husky_local,49,1777042198.830292928,-288.283000,-82.588000
husky_local,50,1777042200.907318351,-288.649000,-81.906000
husky_local,51,1777042203.021715136,-289.028000,-81.201000
husky_local,52,1777042205.365818460,-289.338000,-80.622000
husky_local,53,1777042207.758570981,-289.796000,-79.769000
husky_local,54,1777042209.789721004,-290.177000,-79.059000
husky_local,55,1777042212.129030094,-290.542000,-78.380000
husky_local,56,1777042214.153051708,-290.870000,-77.773000
husky_local,57,1777042216.375443507,-291.147000,-77.047000
husky_local,58,1777042218.286915987,-291.344000,-76.660000
husky_local,59,1777042220.338739573,-291.385000,-76.566000
husky_local,60,1777042222.487855586,-291.411000,-76.425000
husky_local,61,1777042224.488462457,-291.547000,-75.824000
husky_local,62,1777042226.504712588,-291.716000,-75.349000
husky_local,63,1777042228.617294859,-292.091000,-74.530000
husky_local,64,1777042230.583586758,-292.386000,-73.989000
husky_local,65,1777042232.836450459,-292.772000,-73.317000
husky_local,66,1777042234.967176208,-293.144000,-72.668000
husky_local,67,1777042237.087986092,-293.534000,-71.994000
husky_local,68,1777042239.456047839,-293.968000,-71.268000
husky_local,69,1777042241.598906925,-294.399000,-70.549000
husky_local,70,1777042243.688832750,-294.809000,-69.865000
husky_local,71,1777042245.937857252,-295.115000,-69.354000
husky_local,72,1777042248.135036650,-295.479000,-68.746000
husky_local,73,1777042250.233214727,-295.931000,-67.992000
husky_local,74,1777042252.250161719,-296.365000,-67.270000
husky_local,75,1777042254.531934531,-296.764000,-66.616000
husky_local,76,1777042256.649885503,-297.194000,-65.910000
husky_local,77,1777042259.015991026,-297.515000,-65.377000
husky_local,78,1777042261.086840375,-298.065000,-64.472000
husky_local,79,1777042263.088769275,-298.437000,-63.873000
husky_local,80,1777042265.380340354,-298.758000,-63.361000
husky_local,81,1777042267.576020600,-299.101000,-62.819000
husky_local,82,1777042269.658721290,-299.133000,-62.771000
husky_local,83,1777042271.858902530,-299.315000,-62.329000
husky_local,84,1777042273.928599981,-299.640000,-61.732000
husky_local,85,1777042276.149511843,-300.045000,-61.286000
husky_local,86,1777042278.361267370,-300.029000,-61.233000
husky_local,87,1777042280.428763172,-300.510000,-61.015000
husky_local,88,1777042282.711314630,-300.602000,-60.965000
husky_local,89,1777042284.597902769,-300.703000,-60.834000
husky_local,90,1777042286.586311565,-301.208000,-60.210000
husky_local,91,1777042288.833509118,-301.618000,-59.888000
husky_local,92,1777042290.887216738,-301.963000,-59.635000
husky_local,93,1777042293.217080438,-302.188000,-59.548000
husky_local,94,1777042295.221974750,-302.765000,-59.269000
husky_local,95,1777042297.641567656,-303.378000,-58.813000
husky_local,96,1777042299.931865101,-303.933000,-58.282000
husky_local,97,1777042301.934293686,-304.522000,-57.649000
husky_local,98,1777042304.247409338,-304.968000,-57.147000
husky_local,99,1777042306.284028131,-305.587000,-56.452000
husky_local,100,1777042308.612718650,-306.095000,-55.881000
husky_local,101,1777042310.726736228,-306.622000,-55.289000
husky_local,102,1777042313.152525494,-307.142000,-54.704000
husky_local,103,1777042315.326308686,-307.699000,-54.077000
husky_local,104,1777042317.387327147,-308.229000,-53.481000
husky_local,105,1777042319.495075554,-308.692000,-52.960000
husky_local,106,1777042321.653511112,-309.042000,-52.567000
husky_local,107,1777042323.687931340,-309.686000,-51.835000
husky_local,108,1777042325.707005050,-310.077000,-51.385000
husky_local,109,1777042327.836087709,-310.606000,-50.774000
husky_local,110,1777042329.939808241,-311.127000,-50.164000
husky_local,111,1777042332.003132599,-311.450000,-49.782000
husky_local,112,1777042334.088267619,-312.079000,-49.021000
husky_local,113,1777042336.354874397,-312.479000,-48.533000
husky_local,114,1777042338.301287061,-312.516000,-48.488000
husky_local,115,1777042340.290831632,-312.535000,-48.426000
husky_local,116,1777042342.549090087,-312.562000,-48.295000
husky_local,117,1777042344.594197324,-312.707000,-47.678000
husky_local,118,1777042346.817257270,-312.750000,-47.538000
husky_local,119,1777042349.017026802,-312.807000,-47.360000
husky_local,120,1777042351.056606829,-312.925000,-46.960000
husky_local,121,1777042353.101914994,-313.208000,-46.206000
husky_local,122,1777042355.128949685,-313.375000,-45.794000
husky_local,123,1777042357.607924589,-313.358000,-45.782000
husky_local,124,1777042359.938697586,-313.354000,-45.779000
husky_local,125,1777042362.068281264,-313.352000,-45.777000
husky_local,126,1777042364.325530758,-313.348000,-45.774000
husky_local,127,1777042366.387565071,-313.274000,-45.860000
husky_local,128,1777042368.584842555,-313.146000,-46.027000
husky_local,129,1777042370.633563366,-313.197000,-45.971000
husky_local,130,1777042372.586576280,-313.258000,-45.900000
husky_local,131,1777042374.860488615,-313.193000,-45.896000
husky_local,132,1777042376.909814805,-312.987000,-45.944000
husky_local,133,1777042379.168154595,-313.010000,-45.928000
husky_local,134,1777042380.898411852,-313.021000,-45.902000
husky_local,135,1777042383.035410964,-313.056000,-45.917000
husky_local,136,1777042385.087848353,-313.089000,-45.958000
husky_local,137,1777042387.241278648,-313.146000,-46.043000
husky_local,138,1777042389.369323421,-313.220000,-46.142000
husky_local,139,1777042391.286016705,-313.310000,-46.211000
husky_local,140,1777042393.309400335,-313.327000,-46.213000
husky_local,141,1777042395.449015567,-313.385000,-46.255000
husky_local,142,1777042397.520391487,-313.479000,-46.324000
husky_local,143,1777042399.780885407,-313.555000,-46.362000
husky_local,144,1777042401.587495520,-313.637000,-46.384000
husky_local,145,1777042403.692492219,-313.744000,-46.409000
husky_local,146,1777042405.796995549,-313.777000,-46.391000
husky_local,147,1777042407.787983722,-313.903000,-46.325000
husky_local,148,1777042409.892868034,-314.274000,-46.144000
husky_local,149,1777042412.260845645,-314.638000,-45.909000
husky_local,150,1777042414.287717175,-315.132000,-45.456000
husky_local,151,1777042416.507798080,-315.458000,-45.046000
husky_local,152,1777042418.704086456,-315.667000,-44.742000
husky_local,153,1777042420.587516562,-315.687000,-44.686000
husky_local,154,1777042422.622834681,-315.741000,-44.647000
husky_local,155,1777042424.931294675,-315.865000,-44.575000
husky_local,156,1777042427.053433249,-315.999000,-44.486000
husky_local,157,1777042429.225271002,-316.029000,-44.446000
husky_local,158,1777042431.086255377,-316.107000,-44.406000
husky_local,159,1777042433.169184820,-316.185000,-44.366000
husky_2,0,1777042077.505790467,-269.691000,-100.717000
husky_2,1,1777042079.508878818,-269.691000,-100.717000
husky_2,2,1777042081.607111284,-269.691000,-100.717000
husky_2,3,1777042083.705520209,-269.691000,-100.717000
husky_2,4,1777042085.805258922,-269.691000,-100.717000
husky_2,5,1777042087.808457834,-269.691000,-100.717000
husky_2,6,1777042089.807947597,-269.691000,-100.717000
husky_2,7,1777042091.808050928,-269.691000,-100.717000
husky_2,8,1777042093.905994823,-269.691000,-100.717000
husky_2,9,1777042095.906498825,-269.835000,-100.717000
husky_2,10,1777042098.120645811,-270.270000,-100.690000
husky_2,11,1777042100.007093510,-270.758000,-100.525000
husky_2,12,1777042102.102097605,-271.286000,-100.243000
husky_2,13,1777042104.188922940,-271.890000,-99.817000
husky_2,14,1777042106.347767536,-272.472000,-99.307000
husky_2,15,1777042108.367881511,-273.026000,-98.762000
husky_2,16,1777042110.293378413,-273.503000,-98.280000
husky_2,17,1777042112.337860195,-274.045000,-97.732000
husky_2,18,1777042114.406971860,-274.571000,-97.200000
husky_2,19,1777042116.507319409,-275.127000,-96.635000
husky_2,20,1777042118.565890341,-275.669000,-96.083000
husky_2,21,1777042120.831426455,-276.112000,-95.628000
husky_2,22,1777042122.809697491,-276.222000,-95.519000
husky_2,23,1777042124.738439167,-276.674000,-95.060000
husky_2,24,1777042126.942543447,-277.166000,-94.551000
husky_2,25,1777042128.905809021,-277.710000,-93.988000
husky_2,26,1777042131.057241427,-278.141000,-93.545000
husky_2,27,1777042133.028922787,-278.685000,-92.982000
husky_2,28,1777042135.110168955,-279.245000,-92.402000
husky_2,29,1777042137.133882725,-279.775000,-91.851000
husky_2,30,1777042139.379298056,-280.266000,-91.337000
husky_2,31,1777042141.565504160,-280.792000,-90.788000
husky_2,32,1777042143.406723503,-281.326000,-90.224000
husky_2,33,1777042145.528991863,-281.782000,-89.741000
husky_2,34,1777042147.505934219,-282.275000,-89.218000
husky_2,35,1777042149.651751195,-282.749000,-88.716000
husky_2,36,1777042151.606320144,-283.247000,-88.188000
husky_2,37,1777042153.733588973,-283.742000,-87.659000
husky_2,38,1777042155.941167481,-284.273000,-87.090000
husky_2,39,1777042157.900660274,-284.796000,-86.529000
husky_2,40,1777042159.906784251,-285.294000,-85.995000
husky_2,41,1777042162.089446230,-285.723000,-85.533000
husky_2,42,1777042164.006894717,-286.247000,-84.968000
husky_2,43,1777042166.022988663,-286.696000,-84.481000
husky_2,44,1777042168.255164836,-287.198000,-83.931000
husky_2,45,1777042170.332667185,-287.660000,-83.424000
husky_2,46,1777042172.454682905,-288.158000,-82.879000
husky_2,47,1777042174.306539720,-288.663000,-82.314000
husky_2,48,1777042176.357883789,-289.134000,-81.793000
husky_2,49,1777042178.686451832,-289.624000,-81.252000
husky_2,50,1777042180.506586275,-290.069000,-80.739000
husky_2,51,1777042182.580516203,-290.563000,-80.173000
husky_2,52,1777042184.581155556,-290.864000,-79.731000
husky_2,53,1777042186.873222960,-291.378000,-79.274000
husky_2,54,1777042188.708783396,-291.564000,-79.034000
husky_2,55,1777042190.728982528,-291.764000,-79.008000
husky_2,56,1777042192.819387371,-292.146000,-78.942000
husky_2,57,1777042194.906057037,-292.676000,-78.722000
husky_2,58,1777042196.906154987,-293.215000,-78.355000
husky_2,59,1777042198.907601739,-293.758000,-78.084000
husky_2,60,1777042201.007905989,-293.960000,-78.159000
husky_2,61,1777042203.105911655,-293.956000,-78.130000
husky_2,62,1777042205.257522871,-293.929000,-77.661000
husky_2,63,1777042207.206511798,-294.017000,-77.091000
husky_2,64,1777042209.293357439,-294.241000,-76.364000
husky_2,65,1777042211.445455603,-294.503000,-75.733000
husky_2,66,1777042213.314858926,-294.836000,-75.058000
husky_2,67,1777042215.417998737,-295.180000,-74.400000
husky_2,68,1777042217.603505556,-295.522000,-73.746000
husky_2,69,1777042219.664582349,-295.859000,-73.107000
husky_2,70,1777042221.505987908,-296.232000,-72.401000
husky_2,71,1777042223.610195971,-296.563000,-71.783000
husky_2,72,1777042225.607829847,-296.893000,-71.165000
husky_2,73,1777042227.707396470,-297.262000,-70.482000
husky_2,74,1777042229.792525378,-297.593000,-69.871000
husky_2,75,1777042231.880260238,-297.958000,-69.200000
husky_2,76,1777042233.906071085,-298.325000,-68.534000
husky_2,77,1777042235.955119493,-298.665000,-67.919000
husky_2,78,1777042238.031600178,-299.008000,-67.302000
husky_2,79,1777042240.007026720,-299.389000,-66.625000
husky_2,80,1777042242.006474886,-299.695000,-66.081000
husky_2,81,1777042244.138189495,-300.034000,-65.484000
husky_2,82,1777042246.265741787,-300.409000,-64.825000
husky_2,83,1777042248.218174713,-300.786000,-64.169000
husky_2,84,1777042250.306310241,-301.187000,-63.481000
husky_2,85,1777042252.307190982,-301.548000,-62.849000
husky_2,86,1777042254.480162590,-301.907000,-62.330000
husky_2,87,1777042256.582210161,-302.072000,-61.997000
husky_2,88,1777042258.431231803,-302.145000,-61.975000
husky_2,89,1777042260.617352419,-302.259000,-61.986000
husky_2,90,1777042262.507914714,-302.422000,-61.994000
husky_2,91,1777042264.568849373,-302.475000,-62.001000
husky_2,92,1777042266.669588434,-302.528000,-62.028000
husky_2,93,1777042269.059952326,-302.665000,-62.113000
husky_2,94,1777042270.806722764,-302.726000,-62.139000
husky_2,95,1777042272.908475985,-302.798000,-62.168000
husky_2,96,1777042275.006146913,-302.875000,-62.197000
husky_2,97,1777042277.216659705,-302.914000,-62.213000
husky_2,98,1777042279.030717846,-303.133000,-62.265000
husky_2,99,1777042281.019593588,-303.239000,-62.278000
husky_2,100,1777042283.295186980,-303.372000,-62.296000
husky_2,101,1777042285.356643699,-303.552000,-62.317000
husky_2,102,1777042287.206821110,-303.809000,-62.323000
husky_2,103,1777042289.232260386,-304.001000,-62.281000
husky_2,104,1777042291.424730825,-304.407000,-62.185000
husky_2,105,1777042293.306590327,-304.645000,-62.105000
husky_2,106,1777042295.306311079,-304.548000,-62.227000
husky_2,107,1777042297.506227395,-304.468000,-62.289000
husky_2,108,1777042299.405747551,-304.470000,-62.281000
husky_2,109,1777042301.409807056,-304.471000,-62.261000
husky_2,110,1777042303.569985746,-304.566000,-62.267000
husky_2,111,1777042305.507040624,-304.658000,-62.272000
husky_2,112,1777042307.526547412,-305.024000,-62.239000
husky_2,113,1777042309.669455748,-304.964000,-62.282000
husky_2,114,1777042311.612350383,-304.880000,-62.315000
husky_2,115,1777042313.708695143,-304.878000,-62.313000
husky_2,116,1777042315.805957311,-304.942000,-62.272000
husky_2,117,1777042317.815855078,-304.865000,-62.317000
husky_2,118,1777042319.905744706,-304.779000,-62.371000
husky_2,119,1777042321.909161120,-305.015000,-62.221000
husky_2,120,1777042323.960918395,-304.926000,-62.292000
husky_2,121,1777042326.168872857,-304.828000,-62.363000
husky_2,122,1777042328.105696957,-304.828000,-62.363000
husky_2,123,1777042330.252514320,-304.846000,-62.353000
husky_2,124,1777042332.307418342,-304.679000,-62.528000
husky_2,125,1777042334.310411518,-304.678000,-62.529000
husky_2,126,1777042336.433792578,-304.678000,-62.529000
husky_2,127,1777042338.681687738,-304.548000,-62.673000
husky_2,128,1777042340.560421180,-304.470000,-62.758000
husky_2,129,1777042342.514586490,-304.470000,-62.758000
husky_2,130,1777042344.616934171,-304.397000,-62.841000
husky_2,131,1777042346.741686675,-304.268000,-62.983000
husky_2,132,1777042348.900677380,-304.268000,-62.983000
husky_2,133,1777042350.806406267,-304.289000,-62.960000
husky_2,134,1777042352.880662655,-304.677000,-62.514000
husky_2,135,1777042355.006062783,-304.798000,-62.368000
husky_2,136,1777042357.005350966,-304.740000,-62.440000
husky_2,137,1777042359.053979986,-304.766000,-62.408000
husky_2,138,1777042361.264654781,-304.780000,-62.413000
husky_2,139,1777042363.208072187,-304.665000,-62.598000
husky_2,140,1777042365.212117832,-304.665000,-62.598000
husky_2,141,1777042367.495176607,-304.670000,-62.589000
husky_2,142,1777042369.306966224,-304.603000,-62.768000
husky_2,143,1777042371.345485938,-304.574000,-62.832000
husky_2,144,1777042373.648956951,-304.574000,-62.832000
husky_2,145,1777042375.524799801,-304.597000,-62.812000
husky_2,146,1777042377.664351093,-304.616000,-62.729000
husky_2,147,1777042379.713317125,-304.645000,-62.513000
husky_2,148,1777042381.857703292,-304.731000,-61.951000
husky_2,149,1777042383.966232637,-304.892000,-61.279000
husky_2,150,1777042385.983129067,-304.987000,-61.067000
husky_2,151,1777042388.171651415,-305.011000,-60.828000
husky_2,152,1777042390.107076706,-305.086000,-60.223000
husky_2,153,1777042392.235543614,-305.293000,-59.569000
husky_2,154,1777042394.374077784,-305.579000,-58.878000
husky_2,155,1777042396.481531723,-305.933000,-58.170000
husky_2,156,1777042398.308669345,-306.293000,-57.509000
husky_2,157,1777042400.394768328,-306.631000,-56.893000
husky_2,158,1777042402.368784611,-306.993000,-56.243000
husky_2,159,1777042404.470965002,-307.367000,-55.580000
husky_2,160,1777042406.534053143,-307.712000,-54.976000
husky_2,161,1777042408.763135821,-308.087000,-54.326000
husky_2,162,1777042410.637298010,-308.406000,-53.782000
husky_2,163,1777042412.817960375,-308.712000,-53.265000
husky_2,164,1777042414.707009689,-309.064000,-52.678000
husky_2,165,1777042416.911439102,-309.412000,-52.107000
husky_2,166,1777042418.801327858,-309.796000,-51.489000
husky_2,167,1777042420.836272266,-310.186000,-50.869000
husky_2,168,1777042423.105376223,-310.570000,-50.271000
husky_2,169,1777042425.006500470,-311.000000,-49.615000
husky_2,170,1777042427.058815413,-311.396000,-49.023000
husky_2,171,1777042429.194566230,-311.789000,-48.448000
husky_2,172,1777042431.391761698,-311.858000,-48.341000
husky_2,173,1777042433.306971102,-311.941000,-48.264000
husky_2,174,1777042435.407447697,-311.992000,-48.210000
husky_2,175,1777042437.599848629,-312.080000,-48.067000
husky_2,176,1777042439.506331646,-312.183000,-47.936000
husky_2,177,1777042441.680953190,-312.607000,-47.428000
husky_2,178,1777042443.710012417,-313.082000,-46.857000
husky_2,179,1777042445.722163109,-313.406000,-46.468000
husky_2,180,1777042447.964491492,-313.284000,-46.598000
husky_2,181,1777042450.121519348,-313.223000,-46.665000
husky_2,182,1777042452.185766827,-313.342000,-46.534000
husky_2,183,1777042454.071043788,-313.596000,-46.254000
husky_2,184,1777042456.191007342,-313.496000,-46.364000
husky_2,185,1777042458.328979593,-313.496000,-46.364000
husky_2,186,1777042460.396850133,-313.550000,-46.305000
husky_2,187,1777042462.575998360,-313.492000,-46.369000
husky_2,188,1777042464.647051595,-313.435000,-46.432000
husky_2,189,1777042466.836420023,-313.435000,-46.432000
husky_2,190,1777042468.847736294,-313.595000,-46.255000
husky_2,191,1777042471.009052116,-314.117000,-45.677000
husky_2,192,1777042472.807193367,-314.613000,-45.129000
husky_2,193,1777042474.846032901,-314.700000,-45.032000
husky_2,194,1777042476.903096645,-314.711000,-45.004000
husky_2,195,1777042478.920581948,-314.707000,-45.003000
husky_2,196,1777042481.060327376,-314.682000,-44.979000
husky_2,197,1777042483.176343219,-314.667000,-44.955000
husky_2,198,1777042485.224040539,-314.581000,-44.808000
husky_2,199,1777042487.306024000,-314.485000,-44.574000
husky_2,200,1777042489.309827350,-314.483000,-44.571000
husky_2,201,1777042491.418579444,-314.482000,-44.539000
husky_2,202,1777042493.523476318,-314.463000,-44.523000
husky_2,203,1777042495.656584014,-314.445000,-44.487000
husky_2,204,1777042497.610715337,-314.469000,-44.475000
husky_2,205,1777042499.606174178,-314.507000,-44.472000
husky_2,206,1777042502.144329169,-314.257000,-44.355000
husky_2,207,1777042503.809206544,-314.250000,-44.352000
husky_2,208,1777042505.944346840,-314.247000,-44.347000
husky_2,209,1777042508.019688459,-314.456000,-44.332000
husky_2,210,1777042509.993161840,-314.754000,-44.314000
husky_2,211,1777042512.311248843,-314.583000,-44.336000
husky_2,212,1777042514.109299316,-314.582000,-44.332000
husky_2,213,1777042516.198394509,-314.485000,-44.277000
husky_2,214,1777042518.371770604,-314.306000,-44.199000
husky_2,215,1777042520.207185693,-314.306000,-44.199000
husky_2,216,1777042522.541359220,-314.306000,-44.199000
husky_2,217,1777042524.317603647,-314.316000,-44.193000
husky_2,218,1777042526.565338857,-314.344000,-44.219000
husky_2,219,1777042528.507169372,-314.342000,-44.216000
husky_2,220,1777042530.522224596,-314.357000,-44.223000
husky_2,221,1777042532.546215558,-314.368000,-44.222000
husky_2,222,1777042534.598243153,-314.386000,-44.206000
husky_2,223,1777042536.606425225,-314.411000,-44.191000
husky_2,224,1777042538.649801492,-314.442000,-44.187000
husky_2,225,1777042540.720167154,-314.456000,-44.170000
husky_2,226,1777042542.857640984,-314.491000,-44.195000
husky_2,227,1777042544.961674181,-314.489000,-44.191000
husky_2,228,1777042547.079742569,-314.494000,-44.186000
husky_2,229,1777042548.845016850,-314.498000,-44.172000
husky_2,230,1777042551.002142015,-314.533000,-44.165000
husky_2,231,1777042553.097573447,-314.536000,-44.161000
husky_2,232,1777042555.107702747,-314.560000,-44.138000
husky_2,233,1777042557.364591766,-314.434000,-44.292000
husky_2,234,1777042559.205786956,-314.369000,-44.368000
husky_2,235,1777042561.306156406,-314.365000,-44.370000
husky_2,236,1777042563.470865218,-314.355000,-44.368000
husky_2,237,1777042565.635951316,-314.341000,-44.327000
husky_2,238,1777042567.506354514,-314.324000,-44.231000
husky_2,239,1777042569.667322265,-314.288000,-43.997000
husky_2,240,1777042571.606311215,-314.298000,-43.797000
husky_2,241,1777042573.606634832,-314.308000,-43.743000
husky_2,242,1777042575.654294818,-314.339000,-43.515000
husky_2,243,1777042577.651037250,-314.408000,-43.297000
husky_2,244,1777042579.889528501,-314.413000,-43.297000
husky_2,245,1777042581.706967428,-314.409000,-43.220000
husky_2,246,1777042583.806919479,-314.403000,-43.060000
husky_2,247,1777042585.874142806,-314.461000,-42.830000
husky_2,248,1777042588.155833450,-314.610000,-42.594000
husky_2,249,1777042589.905673379,-314.428000,-42.750000
husky_2,250,1777042592.001593254,-314.431000,-42.748000
husky_2,251,1777042594.187340409,-314.739000,-42.489000
husky_2,252,1777042596.107039843,-314.943000,-42.362000
husky_2,253,1777042598.340125039,-315.055000,-42.316000
husky_2,254,1777042600.265044938,-315.127000,-42.286000
husky_2,255,1777042602.438704229,-315.256000,-42.229000
husky_2,256,1777042604.701427390,-315.334000,-42.215000
husky_2,257,1777042606.507138174,-315.361000,-42.212000
husky_2,258,1777042608.651442379,-315.376000,-42.195000
